SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_Male,Stability_1.0,Stability_2.0,Stability_3.0,num_services,cost_per_service
0,1,0,-1.2722402269079998,0,0,0,1,0,0,0,0,0.0,1,-1.1614646072250479,-0.9904972798131946,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.5807323036125239
0,0,0,0.06751045607663674,1,0,1,0,1,0,0,0,1.0,0,-0.26225738692377026,-0.17136602192370773,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,-0.06556434673094257
0,0,0,-1.2316417213630109,1,0,1,1,0,0,0,0,0.0,1,-0.3651187294674589,-0.9560080062978842,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,-0.09127968236686472
0,0,0,0.5140940170715156,0,0,1,0,1,1,0,0,1.0,0,-0.7483601831382987,-0.1928392286142745,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,-0.18709004578457467
0,0,0,-1.2316417213630109,1,0,0,0,0,0,0,0,0.0,1,0.19398243887484837,-0.9368472987893784,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.09699121943742418
0,0,0,-0.9880506880930768,1,1,0,0,1,0,1,1,0.0,1,1.15457465391994,-0.6422349029948025,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.19242910898665666
0,0,1,-0.4196716104632311,1,1,0,1,0,0,1,0,0.0,1,0.8045142784889996,-0.14498150744647795,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.1609028556977999
0,0,0,-0.9068536770030989,0,0,1,0,0,0,0,0,0.0,0,-1.1647827150490377,-0.870665774578965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-0.5823913575245189
0,1,0,-0.17608057719329717,1,1,0,0,1,1,1,1,0.0,1,1.3254572068554225,0.33806653598347164,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,0.18935102955077462
0,0,1,1.2042686113363283,1,0,1,1,0,0,0,0,1.0,0,-0.28880224951569006,0.532712895707809,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,-0.07220056237892251
0,1,1,-0.7850581603681319,1,0,1,0,0,0,0,0,0.0,1,-0.494524934603067,-0.7448878428765786,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,-0.164841644867689
0,0,0,-0.663262643733165,1,0,0,0,0,0,0,0,2.0,0,-1.5231383600399526,-0.8596979213154756,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-0.7615691800199763
0,1,0,1.0418745891563723,1,1,0,0,1,0,1,1,1.0,0,1.1778014086878694,1.4987429111625066,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5,0.19630023478131156
